round_epochs,val_loss,val_f1score,val_acc,loss,f1score,acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,lr,network,optimizer,shapes
150,10.535026221247444,0.5040644616411444,0.33918128846681606,9.773723578333255,0.5552935741055551,0.3869346790577299,relu,44,0.0,150,40,0,random_normal,sigmoid,binary_crossentropy,1.25,dense,<class 'keras.optimizers.SGD'>,triangle
150,5.4669564592908,0.0,0.6608187078732496,5.37426006494455,0.2115111066468397,0.5678391926851704,relu,20,0.8,150,30,3,glorot_normal,sigmoid,binary_crossentropy,1.25,dense,<class 'keras.optimizers.Adadelta'>,brick
50,0.14713036456303288,0.0,0.6608187078732496,0.13073826674839958,0.07121166691708206,0.6030150729807178,relu,20,0.8,50,40,5,glorot_normal,sigmoid,logcosh,1.25,dense,<class 'keras.optimizers.Nadam'>,triangle
100,5.466956361692551,0.0,0.6608187183302049,6.236650133851785,0.0,0.6130653242369992,relu,44,0.0,100,20,1,glorot_normal,sigmoid,binary_crossentropy,1.5,dense,<class 'keras.optimizers.Nadam'>,triangle
50,0.6416280562417549,0.0,0.6608187137988576,0.6652695545599089,0.03015075376884422,0.6155778885486737,elu,12,0.5,50,10,5,random_normal,sigmoid,binary_crossentropy,1.25,dense,<class 'keras.optimizers.SGD'>,triangle
200,0.14713036752583689,0.0,0.6608187137988576,0.17345092131115084,0.02177554353996737,0.6005025098671266,elu,12,0.8,200,40,0,random_uniform,sigmoid,logcosh,0.5,dense,<class 'keras.optimizers.Nadam'>,triangle
200,0.041880470967262017,0.8030039720367967,0.8947368448937846,0.04231595493479861,0.8414728997939795,0.8919597936036,relu,20,0.1,200,30,4,glorot_uniform,sigmoid,logcosh,0.75,dense,<class 'keras.optimizers.SGD'>,brick
150,0.14713036752583689,0.0,0.6608187137988576,0.16784487432570913,0.0,0.6130653218408326,elu,12,0.5,150,30,0,glorot_normal,sigmoid,logcosh,0.5,dense,<class 'keras.optimizers.SGD'>,brick
100,0.1087655039907199,0.0,0.6608187183302049,0.11698566916300424,0.0,0.613065335019749,relu,44,0.8,100,30,4,glorot_normal,sigmoid,logcosh,0.5,dense,<class 'keras.optimizers.Nadam'>,funnel
150,0.6333998378954435,0.023391811471236378,0.6666666771236219,0.6579383836319698,0.07395802033906007,0.6231155707009474,relu,36,0.5,150,10,4,glorot_normal,sigmoid,binary_crossentropy,0.75,dense,<class 'keras.optimizers.Adam'>,funnel
150,0.3044975412061863,0.7767954803349679,0.9005848022929409,0.15159604807931873,0.9025322489403002,0.9522613143202049,elu,12,0.1,150,30,0,glorot_uniform,sigmoid,binary_crossentropy,1,dense,<class 'keras.optimizers.Adadelta'>,triangle
150,0.14713036700298912,0.0,0.6608187211187262,0.16784487252858415,0.0,0.6130653308264574,relu,36,0.1,150,40,1,glorot_uniform,sigmoid,logcosh,1.25,dense,<class 'keras.optimizers.SGD'>,triangle
50,0.14713034896474136,0.0,0.660818716587379,0.1295657745707574,0.06268521409537924,0.5979899485506605,elu,28,0.8,50,10,1,random_uniform,sigmoid,logcosh,0.5,dense,<class 'keras.optimizers.SGD'>,triangle
150,0.6398158184966148,0.0,0.6608187078732496,0.6568114784494716,0.05151950070007363,0.6256281442977675,relu,20,0.8,150,10,4,random_uniform,sigmoid,binary_crossentropy,1,dense,<class 'keras.optimizers.Adadelta'>,brick
150,0.14713036700298912,0.0,0.6608187211187262,0.1678448772460372,0.0,0.61306532813077,relu,36,0.1,150,30,2,glorot_normal,sigmoid,logcosh,1.25,dense,<class 'keras.optimizers.Adam'>,brick
50,0.40936127148176493,0.8107532168689527,0.9064327603892276,0.45140497588632095,0.756845155553003,0.8417085427135679,elu,36,0.1,50,20,4,random_uniform,sigmoid,binary_crossentropy,0.5,dense,<class 'keras.optimizers.SGD'>,triangle
200,0.028129291551852086,0.8677033032590186,0.9239766088842648,0.027195238915445216,0.9079338021613844,0.9271356819862098,relu,44,0.0,200,40,3,random_uniform,sigmoid,logcosh,1,dense,<class 'keras.optimizers.Adadelta'>,funnel
100,0.10893125222091786,0.0,0.6608187183302049,0.10935997341445942,0.26576844052453735,0.633165824952437,relu,44,0.5,100,10,3,random_normal,sigmoid,logcosh,0.75,dense,<class 'keras.optimizers.Adadelta'>,triangle
50,10.535026762220594,0.49677590354841356,0.3391812844583166,1.5724978686577111,0.1912565132481369,0.6055276384904756,elu,20,0.8,50,40,3,glorot_uniform,sigmoid,binary_crossentropy,0.75,dense,<class 'keras.optimizers.Adam'>,funnel
50,0.02853949711118874,0.8484468679679068,0.9181286598506727,0.025392218863816193,0.8818273205852988,0.9271356706044183,relu,36,0.0,50,30,5,glorot_uniform,sigmoid,logcosh,0.5,dense,<class 'keras.optimizers.Adam'>,brick
50,0.6476981664261623,0.0,0.660818716587379,0.6677223225334781,0.0,0.6130653314254991,relu,28,0.8,50,10,2,random_normal,sigmoid,binary_crossentropy,1.5,dense,<class 'keras.optimizers.SGD'>,triangle
150,0.10851971940164677,0.0,0.6608187183302049,0.10910461184067942,0.13890920407208965,0.6407035184865022,relu,44,0.8,150,10,1,glorot_uniform,sigmoid,logcosh,0.75,dense,<class 'keras.optimizers.Adam'>,funnel
100,0.14713036600086424,0.0,0.6608187078732496,0.16855975176820803,0.01256281407035176,0.610552764717658,elu,20,0.5,100,30,1,random_normal,sigmoid,logcosh,1.25,dense,<class 'keras.optimizers.Nadam'>,brick
50,10.535026221247444,0.5040644616411444,0.33918128846681606,1.4321770479331664,0.050964192679179975,0.5753768850211523,relu,44,0.8,50,20,2,glorot_normal,sigmoid,binary_crossentropy,1.25,dense,<class 'keras.optimizers.SGD'>,funnel
50,0.2433270111010132,0.820996904582308,0.9239766137641773,1.5302774163767996,0.7753381133079529,0.8417085463078178,elu,12,0.1,50,20,0,random_normal,sigmoid,binary_crossentropy,0.5,dense,<class 'keras.optimizers.Adadelta'>,triangle
200,0.6457525007208885,0.0,0.6608187183302049,0.6765089568181254,0.04432948300586873,0.6105527704085537,elu,44,0.8,200,20,4,glorot_uniform,sigmoid,binary_crossentropy,1,dense,<class 'keras.optimizers.Adadelta'>,funnel
150,0.14713036600086424,0.0,0.6608187078732496,0.1562229045222153,0.11885182042816776,0.6281407122036919,elu,20,0.1,150,20,2,glorot_uniform,sigmoid,logcosh,0.75,dense,<class 'keras.optimizers.SGD'>,triangle
