round_epochs,val_loss,val_f1score,val_acc,loss,f1score,acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,lr,network,optimizer,shapes
100,0.060276299474928616,0.5991257974886781,0.8184834120962857,0.06601948899582895,0.5776920807598955,0.7960178787899134,elu,64,0.3,100,256,5,glorot_uniform,sigmoid,logcosh,2,dense,<class 'keras.optimizers.SGD'>,brick
200,0.4959385700700407,0.4996852445941401,0.8056872044694368,0.40374288857830876,0.5011541668669279,0.7889069482980826,relu,128,0.8,200,256,1,random_uniform,sigmoid,binary_crossentropy,2,dense,<class 'keras.optimizers.Nadam'>,brick
150,0.47026945646340246,0.5472378325123357,0.7938388618812742,0.35716446375565913,0.6337775996742768,0.8199918733433658,elu,256,0.3,150,64,5,random_normal,sigmoid,binary_crossentropy,4,dense,<class 'keras.optimizers.Adam'>,funnel
150,0.5628689834856874,0.0,0.7511848344057093,0.5857185793329864,0.0,0.7269402678445895,relu,256,0.7,150,64,5,random_uniform,sigmoid,binary_crossentropy,2,dense,<class 'keras.optimizers.SGD'>,triangle
150,0.9904416487115254,0.4972547033951746,0.7563981040394137,0.13985250480336806,0.8841402651768591,0.9416903697926066,elu,32,0.0,150,256,2,random_normal,sigmoid,binary_crossentropy,0.09,dense,<class 'keras.optimizers.Nadam'>,funnel
150,0.4199607597425651,0.6223596218637946,0.8052132703681693,0.4603514403455968,0.48373121773988337,0.764120276383102,relu,256,0.3,150,128,4,random_normal,sigmoid,binary_crossentropy,3,dense,<class 'keras.optimizers.SGD'>,funnel
200,0.47945759471558846,0.0,0.7511848344057093,0.5432423997438811,0.0,0.7269402682321046,relu,64,0.6,200,256,1,glorot_uniform,sigmoid,binary_crossentropy,0.09,dense,<class 'keras.optimizers.Adam'>,funnel
150,0.42583188411748807,0.6055351288962704,0.8151658774552187,0.4699119224944574,0.40158516885497036,0.7665583095575725,elu,256,0.6,150,64,5,random_normal,sigmoid,binary_crossentropy,3,dense,<class 'keras.optimizers.Nadam'>,funnel
150,0.0773880116182481,0.5173094788998789,0.7805687210571144,0.03971045980913423,0.7774572848111136,0.883990248157357,elu,64,0.3,150,256,4,glorot_uniform,sigmoid,logcosh,5,dense,<class 'keras.optimizers.Adadelta'>,brick
100,0.4613953612427011,0.1035983364870198,0.7639810424280392,0.5168671129874609,0.2641117932204549,0.7541649736606314,elu,32,0.6,100,128,1,random_uniform,sigmoid,binary_crossentropy,5,dense,<class 'keras.optimizers.Adam'>,funnel
100,0.06095788752510085,0.5722355622250886,0.8170616110919211,0.06184447112151492,0.6083116246790772,0.8094270621940693,elu,32,0.6,100,256,2,glorot_normal,sigmoid,logcosh,0.09,dense,<class 'keras.optimizers.Adam'>,brick
200,0.06294915482613712,0.5910598724374274,0.8061611367627908,0.06250257875160298,0.6556658759586019,0.8092238928234127,elu,128,0.7,200,64,2,random_normal,sigmoid,logcosh,3,dense,<class 'keras.optimizers.Adam'>,triangle
200,0.06321199166972491,0.5938774812278025,0.8047393367188802,0.06230127143422698,0.6394070151471258,0.8110524180312314,relu,64,0.8,200,256,1,glorot_uniform,sigmoid,logcosh,3,dense,<class 'keras.optimizers.Adadelta'>,brick
200,0.06076915626418534,0.5990083700107737,0.8180094788989749,0.0688950491721724,0.5478778913804837,0.7848435591895713,elu,256,0.8,200,256,2,random_uniform,sigmoid,logcosh,5,dense,<class 'keras.optimizers.SGD'>,brick
